id_perfil;clase;lugares
7UMATSQXHWRH7Z4Z2WUQHF67VU;USA only;Los Angeles, Washington 
7VBXBCZ5KOZKX354EXGNXJOFE4;Undetermined;none
7VOVU4W5ABBRTUGX4RSBBUYLIM;USA only;Texas
7VU3Z4VTOMUKBSLYJAAFZRUGKQ;Undetermined;none
7WW656AGKZGPZQDRBO42KPGRKU;Undetermined;none
7XQXCQYIOCTE6HZJJGMMEP3JDU;USA only;California
7Y4YAYSRIZMTKDH6ZHKE3LQSYI;Undetermined;none
7Y5JLN6UNQZ6ZRY4BJ7JIIQ3RE;USA only;California
7YE62DQNU2TKGPE4ABC4MIBSBY;USA only;California
7YMPKHBCXFCF6X43VAS2AFINFA;USA only;Idaho
7YOR2QBGN2C76WSDGD5UQQQIME;USA only;Wisconsin
7ZGDW3TQVQVLVDE4WCKOBMFBKI;Undetermined;none
A2UQSBOFM7EZ7IP57XLRJ27NS4;Undetermined;none
A3FTXNXQFWWX2CD2ORGYO4O4AY;Non-USA;Vietnam
A4DRU4LZKFZOXPGK44WDM4MEYM;Non-USA;Scotland
A4ZCKZILOLFLNFRPJX4HEUDAD4;Undetermined;none
A5LWWBWX36ZIOSPKMCDUXWZF5A;Undetermined;none
A5Q6GI2PNQY5W7H2O63N3ZJRI4;USA only;US
A5W7HNN2NOWJC6BOL454ZD55H4;USA only;Minot, North Dakota
A5Y3YWB7LQT2V3EUX6MVD3DJRA;USA only;Arkansas, Texas
AAJTWQEMNDQ7EPKWS565GGGKOY;USA only;Los Angeles
AC3ZDAWZR4SVCVURGX3FLRJTPE;Non-USA;Germany
AC7FW2OYA5JUWMVPHQX5TABFQM;Undetermined;none
ACHICTIWPTOVTR426MJV5BOBOU;USA only;Montana
ACIM3MIT2AG732O6QTBVNEITFA;Non-USA;Puerto Rico
ACMH2EZ6XBW7EJKX7I6UY3YSX4;Undetermined;none
ACRNEV53VZFP3MKUXFRV2NG4GE;USA only;Portland, Oregon
AD3RSMCNL7UW4GTQ6MOBTJDQOA;Non-USA;UK
ADQHMBKGJYWGW6YYKY6SQZHASI;USA only;Tampa
ADR2QQQ3WFZM32BRC7472H3BZ4;Non-USA;Mumbai, India
AEBOVH4EIDRBXTKXBWLX2RSIWQ;USA only;North Carolina
AEOWG57YWLV3WZ62IW3X6CG2BA;Non-USA;India
AES4PTVU3FHENITDENKGDLVNZM;USA only;Maryland
AESNJX5H6WTB22BPX6F43WAHTY;Non-USA;Bangladesh
AETIPX74LYOAGGJ27UFTCLGCNU;USA only;California
AFWCNGOHJUA2Q3CF7QPTRPJMEA;Non-USA;Germany
AG4F7H5IQ7UON7TGHQWCPOGXT4;USA only;Ontario
AG4RABUIV3HQURV6N2FSG4JSB4;Non-USA;China, Mexico
AGPENBR6TJGNMIVSP45QBWTRU4;USA only;Carolina
AGPGJEWBKGVZPZANKLHXOGQTOY;USA only;Colorado
AGQZDAH63KHLPP3EUKC4BIX2JI;USA only;Madison, Wisconsin
AGUKC2RRA6HPP7MPC2M6RDNSOU;Non-USA;Tasmania, Australia
AHCNFFJCMHYFKLF7DSF3IQ4UKE;Undetermined;none
AHECA26ARHUYEHU5J34J5ILVSI;Undetermined;none
AIV2WPWHJZBZWF3QW7W3QBMKEE;Undetermined;none
AJGYURSIKBOJ63UHDLLYZBY5WQ;Non-USA;India
AJS4LTHHOCK4EOORPO4PCF65PE;Non-USA;Toronto, Ontario, Canada
AKL6XKGIMSQQ4JRF4D2BDGAXDQ;Undetermined;none
AKN5VOBTZSQ43R7C472IN5MHV4;Undetermined;none
AKXSCYORDF6UHTNK52NCTGM4IY;Undetermined;none
AL242TONAZEEVNGGAI2PGJUTUI;USA only;US
AL6OEACHHJUPYFZ3UQQLVOWVWY;Non-USA;Fareham Hampshire, UK
ALBNXTLN7WR4YPKFXMVBP7BT7U;Undetermined;none
ALM7KTHPDHP5SCGMNPECSVYYKI;USA only;Washington DC
ALMNEPL6SKCKFPAAVZATEOLLO4;Non-USA;Ensenada, Mexico
ALUZ2ER5BOCNOJDRO7OEM6DJMY;USA only;Alabama
AM7QDVGFVIBACIMHXKZ4QJK5GQ;Undetermined;none
ANTM7JB5WIS2K2SY2F456EJATI;USA only;Florida
AOAXQTFDFKZGCPDUU6U5T5G4EE;Non-USA;Xiamen, China
AOSBYHUENJZDWGW7RDYJ7TWFMU;Non-USA;Saudia Arabia
APMD446Q3ITVVLEQFPE6WBF7FY;Undetermined;none
APMN4NWEU3VDNMTG2M6LAQ7QCE;Undetermined;none
APZBKTBQE42SZMRQYXAPVACQZM;USA only;California, Texas
AQ7ZYBZDGNI5ODWFGJPBS5E7BM;USA only;Chicago
AQG7IQATYCQFCHNFSLILYH3F5I;Non-USA;UK
AQT6GRJGX7TMNNOAM7UYGIUDFU;USA only;Flint, Michigan
ARNSJTRYGGKVMKK5HFWX2BTYQY;Undetermined;none
ARPPZ3QTZLFYTYEKYCN7BKLPEY;Non-USA;Philippines
AS6IBMMPKV7WB5V424L5P5O3UA;Undetermined;none
ASEM3FHF27JBZM7A3USYPBZQNM;USA only;Wisconsin
ASMCK7XDP6ERBETFKNHZOPMG7E;USA only;Naples, Florida
ASMLMC5BB4YSI2FXM3PAYOIEPQ;Non-USA;Australia
ASS7U6BPZKWQ62ELIQLGNAPCGY;Undetermined;none
AUXSVLJKCZQB2LXDCKESDV4VUE;USA only;Carolina
AVLNPJFRGLLC7SMYCO7NUFIEHQ;USA only;Chattanooga, Tennessee
AW22QF6GBB7EADOWWXTZFZBGIY;Undetermined;none
AWS747ZARBLHVXM4MG7VJME5KI;USA only;New Jersey
AWVGKNO524H5RKAVSWWNZFB7UA;Undetermined;none
AXHNXYL6TUVOLVH2JDG6TP53R4;USA only;Maine
AYNZK2BDANJHUEBCDXFL7QFLJU;USA only;Florida
AYTTD6LCWMM7BZF5REQWJOPXBU;Undetermined;none
AZ3IL2NTBTYV7BPZJ5PYRA4H4I;Non-USA;Mazatlan, Mexico
AZ62MEKZURKHDSYCNCST7IEVYQ;USA only;Arizona, San Diego
AZBWTJHN653UNRM3H5XE7G7UV4;Non-USA;Colorado
B2SEQS2Q3TCGX7H7UAXHRJAZMM;Undetermined;none
B3BUKKULPDGUNLHMDKK2GMFLZI;USA only;Florida
B3Q36LHNYIJ5MTGTDIQC77BYZE;USA only;Texas
B5SGWJOY6MF7UUZAFLYERSG5EM;Non-USA;South Wales, UK, England
B6D7FFMHQWCGDDKC3ZUOWGLTJ4;Undetermined;none
B6EUEG7ZUGEM74R2N5U3MCV2ZA;Non-USA;China
B7BIYP6PBDLUSBS2T4VO357NWM;USA only;Montana
B7V2YBZPFBDOMXEZD2WFKXZWEI;Undetermined;none
BAS7EPQJEVFEDXDQEZU4SEGHQ4;USA only;California
BBINO6DJUKSUFN5O223URILLEE;Undetermined;none
BDPPWOPA3X2B36DKZRBOPC73SE;Undetermined;none
BDUORECGHKTWLBMI6DG3LDKIDQ;Undetermined;none
BDVXZX4CSXGOUD5POBEOYFM3YU;Non-USA;Caribbean
BE4YQLEVKEDYIPNMDSZV3YY5UI;World;Dominican Republic, US
BEFPHKCHBNBLH2EHC6HM76PCUM;USA only;Idaho
BET4HJGGNU36THJCCWEYUVJBDA;Non-USA;Australia
BEZJT5JSEZAJGI7CXTUHFXK6XU;USA only;Pennsylvania
BG42O54OVKZ7NVHGFQJDKVCWXA;Non-USA;North Wales, UK
BGDVSPS5GP4BKCODKUSBTVEMHQ;Undetermined;none
BJFMTHLLTCAYO6Q23PEWCREJIU;USA only;South California
BJHNALVPRA354BRPP5Z6SWGXCY;USA only;California
BJTJVT3IKMCONGMYXMX7YYPCAM;Undetermined;none
BJWYBNN57XX7TNY2RTBFQL4BGI;Undetermined;none
BJYYVUPGRU3VSWKT3UKN4OON5M;USA only;Augusta, Maine
BKGEKR6VH5EEUDJ6KLFNT34RAQ;Undetermined;none
BKQ3RJUZOLTYVLXVLHZYNCNBZE;USA only;Colorado
BKU7WUIUMSPCQ6PVWAMH7WTNCQ;Non-USA;Sweden, India
BLA6QRE4F3PALGT5Q563VVGQN4;USA only;Arkansas
BLYHFTTTGWEZTICFOR5RAOXARE;Non-USA;Melbourne, Australia
BLZRXVP2N2HOIVC5XVU6AU33KE;USA only;Greenville, South Carolina 
BMDMCEIWJDSA6EZH6OCRUJ3KEA;Non-USA;Korea
BMLYOWYTFVM3FG2WRTEQEUDCRQ;Non-USA;England
BNHSOWQ7C7BNL33IGZVOFEARNQ;Undetermined;none
BNX2AYK4UT457PERWNSYZE2VL4;World;New Hampshire, Missouri, Okinawa, Japan
BOKSJIC725F37ZADCSDC4HJPAM;Undetermined;none
BOW7SO2CZ5XPMWCV66FJSTOT5E;Non-USA;Brazil
BPZB4EAHF2OTA5MIVKLV2772WM;Undetermined;none
BQCLPRC2ZGWBAX5GCCVMG6QUQE;Non-USA;Montreal, Canada
BQESGUCKHDBXQGHGNTE6KD3LJA;USA only;California
BR6A5W53OELDCLR6PPZVDP4HFM;Non-USA;UK
BRAS76BGPX4TOUDZ3WTHFFKNSA;USA only;South California
BRP22PXZ4CLIIDNCCZFMLDT56A;USA only;Oklahoma
BTELQ5P7SBDEHA77YAKGMBBQ6Y;Non-USA;UK
BTODJ4QZONGEDTKOJ5GUMPA3YQ;Non-USA;Belgium
BTSX5IQVPMQE7QEQ7MAXFWMXBA;World;Texas , Germany
BTXU5ERPLBOPPUWHWJYUBY2PMM;USA only;Santa Barbara, San Francisco, Palm Springs, Vegas
BU4U7MKCZQJ33EHQSYJNSFWIPI;Undetermined;none
BUWSBBL2LHN3KXLLWGNKN5U24Y;Non-USA;Melbourne, Australia
BUXL5GWIFFCFHIJUZFQMG3PVUE;Non-USA;Canada
BVASIXETO3AAUCO6OVPBFVJLXI;Undetermined;none
BVOFDUHJSWF67PXSSP5YYCO2YU;World;Russia, Colorado
BVQXJW53T56RSG5AXFAPKTI2IY;USA only;Richmond, Virginia
BVWLDI2UXTMMAN555FNTZH4U6A;USA only;US
BWH5HW3KRFCFRVO7IQR7JFK32Y;Undetermined;none
BWOEKAAJPEUV5QMLQSXOMEZANY;Non-USA;London, Uganda, Rwanda
BXPHOPVBLX33Q6O5QWSZ2GQBXI;Undetermined;none
BXQWN56AOBKH67RXMTE67I6DNU;Undetermined;none
BYAJFIHSW4SW7CM3MQM46MTHYI;USA only;Texas
BZLL4STADIBVNHKT6MPWYNFUVU;Undetermined;none
BZOEQORD3VBGD34QP3HZMEZ3KA;USA only;Missouri
C27CFGAKDBL5WHQSRCC5RK4UY4;Undetermined;none
C2LKROQ6AF33VLNTA33DDWJNAQ;USA only;Berks County, Pennsylvania
C2VPGQISTXFJIDIJITPCH6O7YE;Undetermined;none
C2XV2SP3WE2N7EHRUTJCEQ367U;USA only;Chandler, Arizona
C4SQ5AT6WU4PF2JLHG7IGIUWJU;Undetermined;none
C5IIKQG75ATVFMSD6HY62IVKME;Undetermined;none
C7LMJKJVVE5EY4RMPCKKAABNRQ;USA only;Greensboro, North Carolina
C7LMJQIWXYZGJWBMEPLGQT2NSU;USA only;Salem, Missouri
C7QQKJIS5UYQ2U4MHCBKNHMZFQ;Undetermined;none
CAU4OBU67NL6JOT7ATSH6TED24;USA only;Maryland
CC6AD2EKZJ6PDDMP74VIWOQT4M;Non-USA;Glasgow
CC7AWIEPWOFW3PJ2QAUGH4VOIU;Undetermined;none
CCX67NXVY4W6P7FI6YCMNZCRKA;USA only;Florida
CEKOMLEPVJPJHCJ2ZZSOQXQQVM;World;US, Japan
CEOU6C74THWASD7SDUD434IT44;USA only;Detroit
CEQEXMMSRB2I4O5ZN6BKL6F6PY;Non-USA;Lod, Israel
CET7HQI3WVOAXRNOJIG7Z4XVCQ;USA only;US
CGXDHWHXOCJZPDTGALY7YIQFIA;Non-USA;Belfast
CH2ALSJCSVUK43AEQNXUCM5M7E;USA only;Maryland
CHGQ2ASNUIIQ4452RS3A7BEJLY;Undetermined;none
CHXA2RCTJ2HLJCKICNPYIHWUDY;USA only;Florida
CIT26DRMLQFVQLOCV73MQXZXAA;Undetermined;none
CJ3DXZEBYLZDB4ZHL32XAAV4BQ;USA only;California
CJQVKDX7OVEFTG3EE7ADRE4WUI;Non-USA;Nepal
CJSY3TW745PPIKJO3SYX3MBKJI;Undetermined;none
CK6CILFXT66URVCLPPRM2EUMPI;USA only;Ohio
CKIZFPLUXRRJ3DODJRDWTZ3ERM;USA only;Atlanta, Georgia
CL25QK7JG675G5V26ZGBPMUQKU;USA only;New Jersey
CLBKBF65BIMCPRXB6ZB6YLCZTQ;Non-USA;Netherlands
CLH3N7224R2W5HVMRPYRBXWQYA;Non-USA;Guatemala
CLRTBXUJGI4SI4C5XOOHXFZYQE;Non-USA;Nova Scotia, Canada
CMK2OQG2S2IC4APF2GEYHYRKLE;Non-USA;Saudi Arabia
COMSUZPLFZ5GWE6HI4ZBJ5N3VY;USA only;US
COQOYKGU4HSHMV3US2PACYOXW4;Non-USA;India
CPBFJSIHHGF6TLOGMZJSHLGWQU;USA only;Hawaii
CS62QLDOXIQGBOPRYUCIJVAMXI;USA only;Houston
CSC6R2C2RUFIMNEVUSDEIGSFIQ;Non-USA;Russia
CT4QYK4JC3XDX3OL7OHPRASU5I;USA only;US
CTAQRHAFRLK3EOX4KZX56BY7TA;USA only;California
CTJSTXCIOFFEE6JMDZGRA6AR7M;USA only;Virginia
CU5FL6ENZHDFTCSG5CLO6R47W4;Non-USA;Navajo, New Mexico
CUH5JOI2TB5LM4USY2INXVXL5U;USA only;Texas
CUIAAQIDRUBICXPO24FZISYGW4;Undetermined;none
CV6JNCWZC4GLOOWQXVSSL2TUOQ;USA only;US
CVDBND4CGXXQWXD3D4CKGCEXZA;USA only;New York
CW76PE7J3QR6BRUFABDCJEDBGA;USA only;US
CWRVOM5VMIFTEXZBLGB4I2YYP4;Non-USA;South Wales
CX5ZEOUDGDDJHJ23A7RWFH3KNE;World;Canada, US
CXHMSYQV4SH7OA47G65UTDB5KE;Undetermined;none
CXM64S6PD6A526HC3CEIMJNN5Q;World;Ottawa, Ontario, Canada, New England
CYCMMIZD5PPVEIPCUYS3TTWMJI;USA only;Rhode Island
CYWL7JCH2SO7XSCOHGY2YIAKFA;Undetermined;none
CZPVA6XABUF6VCY2HPNEB4L45U;Non-USA;Guilin
CZXWNJSO5XWITFSJMAZWNIAZUI;Undetermined;none
D24FSY4RLGSLWZAB5B7DBPXHJE;Undetermined;none
D3NGSBANEG7ZSJFR5ZB3DG6O3U;USA only;Alabama
D3WZVM35YOCN73J2YATXJ3CT2M;Non-USA;Delhi
D3ZKCMHAWNTUTKRIB4LJROXBWE;USA only;Michigan
D4VAI4FYLQQBG44FCDGMG3Y5XQ;Undetermined;none
D535QLK5YVAGKFQXPPSWAXX4NE;Non-USA;Mumbai, India
D56FFOENSHA576IAW3ZRTYQX7E;World;Austin, Texas, Brazil, Sao Paulo
D5KKWFREOOPZL4WDUS5BLS5GFE;Non-USA;Ontario, Canada
D5V72KUZ37JL7DTD7AAE75R4TA;USA only;Pakistan, Karachi 
D6ES3XDD4PRKGZXDPIU6S7N7II;Undetermined;none
D6QSU6NO75LPZR7NBOUY5HA2XY;Non-USA;Africa, Algeria, France, Spain, Belguim, Holland, UK, Ireland, Morroco
D7JIFE6Q4AKICPGI3SI2AOQS6U;USA only;Topeka, Kansas
D7KTIKEPPGNWBFWIQM5WD25MWE;Non-USA;Iraq
D7MBVMTNIBHP4PQRLGVHFKA6TE;USA only;Seattle
D7SGXBYMLBCRCYD5I2IGTPT2JU;USA only;Orange County
DAJHS4OHDZRTSR5SEEYJHKEZRA;Undetermined;none
DBSZCM74EA5YFNW22C27FWK4QU;Non-USA;Australia
DCVVQSZZ2CQAY3RVJAMTQ4XM6I;Non-USA;France, Vancouver 
DD7SQQT7UVU2QNBPJE24J3SEGI;Undetermined;none
DDRIHTS2BEYDL3D5PE5J57QEAI;Undetermined;none
DDZOFDDLX73AWYZJ2FMEUKAH7I;Non-USA;England
DE6X4BLDALOI2WJ7YZNUDCGGVU;Undetermined;none
DEVMBOOE4J7VYHPX6RUZS4K5MY;Undetermined;none
DFERP5UKUN2YTHQBCSODBAATUY;USA only;US
DFOILASXN7V3BFEVIWZLGBG47E;Undetermined;none
DFUGJDMUEBHVPCBZIXTI2BGZKU;Undetermined;none
DGQHQHLRHQ22KPXQD3ELLOMKPE;USA only;Bronx, New York
DICZJR336MOWNQ24X3RVOCTQNI;Undetermined;none
DJL3SEAVORCUE4NFSXKFQAARYA;USA only;Modesto, California
DJPRDOJD2W4YHY5KJJI6FNVZC4;Non-USA;New Zealand
DJWQHJIQREMF2ADK25WTTW6MKQ;Non-USA;India
DJXBNHXDMYWSHCZVS3BXAGX5DY;USA only;Las Vegas, Nevada
DK4BTEBKADEFYLJCYNIDGGFKHQ;Undetermined;none
DKJM3DPVXQJBAPFBGMJ27OESQU;Undetermined;none
DKVXV63MOYWJ6D4E7U5OGDA5YA;USA only;Virginia
DLN7WRE3KDAEZTRT7ZQ74TR224;USA only;New York
DLYEABL55ATVWETA6BOP6GZAJY;USA only;US
DM6FLX3QUE22U76BTR6W5J3BGY;Undetermined;none
DMT7QQN6NI4FX3RBBSS5CCSEGA;USA only;Jersey City, New Jersey
DN6LGIFOTMLKINA3BK3CSIDTXI;USA only;Wisconsin
DORPB6LCKUOEGLCPIBA4UE7N6M;USA only;Wisconsin
DP6ENPPF5UPDL5SILVH6MO2AEU;Undetermined;none
DPFZGHVMP4OLSEIM4MCD2KJNNA;Non-USA;Chennai, India
DPPCRQ3J6ZJX4JQBTNPGIW3IVI;USA only;Los Angeles, Carolina 
DQ5DBSUTP5XY7W2L5RWKQWEKMI;Non-USA;Puerto Rico
DRGRQQTLERLHFQXJICCOOEWXHA;Undetermined;none
DRPVTZATTU3GXNA4XD7HVIY3SY;USA only;Connecticut
DSEARGIT4WBRGSALQ6INOVDMS4;Undetermined;none
DSRALUJCJXUU6XCLKW4XRDX4WA;USA only;Alabama
DT2UTMS6IVWX6Y2R27TU5PUIIE;USA only;California, San Francisco
DTLUIT74WRP4XAXZSF3BJH2OJA;Undetermined;none
DTQQUCNY2P3ZAUTWUU7EXFFUEY;Non-USA;Honduras
DURGBJQ45RICPUP3DTVT7IBKO4;USA only;New York
DUTZ7CKCRK2TTNSEWPLKCBZVFU;USA only;Florida, Panhandle
DWVALYVK6TMTVVWA4YA3A6SU2Y;USA only;Florida
DXV3PXC7THU3IHX7AUEITME6DY;USA only;California
DZ3FZIP5V4AIS22TTYVM4L37PQ;USA only;Miami
DZRUZMIG4M54RT4VNWKP3HAVAU;USA only;Texas
DZUC4DJOAXYECGMGUXFFXGVEV4;Undetermined;none
E2BYR33D5KEDW4PSF6RBCD5OMA;USA only;Indiana
E2S4RILW5YEPD5IK6AMZZDD5S4;Non-USA;Canada, Ontario
E2TNDFWNCZEJBU5B5SM56HFITE;Undetermined;none
E36UBGXFLNDJCNNC6DLQBC27EE;World;Venezuela, Miami
E4ED36NFRL2KXLMTXIVOOYL3VE;Undetermined;none
E4PGQ24WRJDXIKLE3H2Q3MOT5A;Non-USA;New Zealand
E6JA7I5TE35YVSBKX26XEYLXIU;USA only;New Orleans, Louisiana
E6MFAD46ETLKJ66HDKBHXME2CE;Non-USA;Scotland
E7NHOORV6QKRQELYXD5S2E2M44;Non-USA;Sri Lanka
EALHYLVWGNHZHFEUVILKUSDE5E;Undetermined;none
EALVIKQZ532TJACLCD54ADBRU4;Undetermined;none
EB3ABQQRPJAHU25NN37SNL5CWE;USA only;California
EBJUPDZIWXIISYNQY6X44PC3DI;Non-USA;Odense
EBPOMK3Z6EHZIDTDI2JZEJBZGE;USA only;Spokane, Washington
EBYSVWHMHXIEHGQW2IGYGWHBVQ;World;New Orleans, Los Angeles, Puerto Rico
EC2HD4IGOBQVRT2YUTQSI6N3OM;USA only;St. Louis
EC4VYU7A4HKMNUYK5IYTHOYSNM;USA only;Cincinnati, Ohio, Georgia
ECKRXDF5F6G75AH5VNXOHO7BDY;Undetermined;none
ECNZMZZBVSKKW6RPK5DD34JWBI;USA only;Colorado
ECOZEDD3Z74VSZ6SZFGBUYXCOE;USA only;Los Angeles
EE5YOIP6A34GIZGEPAXNZ6GPNA;Non-USA;Lithuania
EEP6JMJMXYBC56VZQ3VLR2PZTU;Non-USA;Syria
EFCYCWVSPAOF5HNOZXLEUYJHD4;USA only;Arizona
EFOW24PPS75FW5TDGKYBV5DVBY;Undetermined;none
EFYJ22OSK4NIDSGOMBGNZD6M6E;USA only;St. Louis, Missouri
EH5MXH73AGVYGYDZN6CGIS5H7E;Non-USA;Philippines
EI6NRNTWV7V7AEAQSGY2AC4EQ4;USA only;US
EI7LCHOXINAAZMP5CNLXGDH3VA;Non-USA;Mexico
EKRKIXDCYG3MGH2R6EIYHOC37E;USA only;US
ELRU3IHR2E2OZ2ZHQIC3FQZKMU;USA only;Rhode Island
EM77ELM3QOEONSB3JMSDEVZTM4;Undetermined;none
EMACRNZRRBVDYHKBFSJXNVGKJY;Undetermined;none
ENORWI3XGBVJQQBF6E3EXRYQHY;World;Baumholder, Germany, Iowa, Iraq
EOPAUY7U2DNN3PZFZUVDVHZK7A;USA only;Beaumont, Texas
EOU333B6RFPWEXCYZAWVNSU3NE;Non-USA;Ireland
EQQMWRLJNBMWZIJGHQ7UFMWSKQ;Non-USA;Scandinavia
EQXZ5VDV742ZAHUB2ER7NHRSCA;USA only;Miami, Florida
ER7D5RSWVM3ZP7LVEFA476GTEU;USA only;Arkansas
ERFNADRAEME5RPHATYPXELMUKM;Undetermined;none
ESQYYDNPWY2VIENLZSUYGNOAOE;USA only;New Mexico
ESS2PIRJ6JY2NF3ZDCCVI4NUUA;Undetermined;none
ESUFKUXGF3XIGBRVCO7MA7HI3M;USA only;Arizona
ETHKZE7YVLBYKA2D3BQ4OSVTIY;USA only;Texas
ETYNI4CJ4XYX42Q26IBOIR7VME;USA only;Michigan
EU3DJV6W5723JCZA73ULFOM2KM;Non-USA;Germany
EUE7AIC7V6LZWACTIH2WWDWS6E;Non-USA;Malaysia
EV3NEEX5BQ7LSKGEXDBVMUUPSU;Non-USA;London, UK
EVNRHY2NZBO5HCFGO76ZZHRBJU;Undetermined;none
EVQQH32DJY7AVVQFDZIJF47FR4;Undetermined;none
EVXHUTP6QUXZIDIBZS22TT7RQE;USA only;Virginia
EWQCLZHP675TGC5TKQM2T5LSLQ;USA only;Iowa
EXU4F7AIHVGJ4ODZW423IWVOQM;USA only;Houston, Texas
EXWSSHVVULKR4XDYFVP2VQCXN4;Non-USA;Qatar
EYDA5RAY4N6AFEKTFNXHUHKGGE;USA only;Ohio
EYNWUYWBMPVL5RJAMQEEBBVEQ4;Undetermined;none
EZHNFSZGCMZJRSOZX2MFMIPE5U;Non-USA;Ireland
EZSONA5HVUYGF4PUYZGTBVSLLE;Non-USA;UK
EZW7GUVBNEK4L62YKXVGNCH2YM;USA only;Tennessee
EZWEVQOKG3CZXUF53IJJVCH5GE;USA only;Miami, Florida
F2KWV76JUY4LUO47FR6F6UAEH4;USA only;Tennessee, Volunteer State
F3FZ3C27XQCXAGFOPWETL7XGM4;Undetermined;none
F3RSICJXLG2STAAOGJ6ZNYKYIQ;Non-USA;UK
F3UZPJWFAFPKOWH6BABYFS2XQQ;Non-USA;New Zealand
F3YTOWXHSFL3RVNYC73KAAWXPI;USA only;Georgia
F4YWOEPUK6IIBEDMSCMT4NBWJM;USA only;Texas
F5KMN34YDSPTZCFTCTFIZNQLAQ;Non-USA;Australia
F5W5PNWQTA7VUWPIVYBFGWGY6U;Non-USA;Malaysia, Perak
F6D5DGFT6W7TVOHZFFRD24C6NI;USA only;Tennessee
F7R5SX7VIG5DUS6GXLASXFD2SY;USA only;California
FAMNJQMMMOKBIXMSVZBCWBMU6M;USA only;Texas
FBQIKVMJNRIYEKCNK3J5MWWXXA;Undetermined;none
FCLQ46B6X6J7UGJRQ6X7CGRYZQ;USA only;Texas
FDS7C2HQCPPCLMTXS5AMAAOJFI;Undetermined;none
FELXRCHNXYTXE4HXZRG4HEUCQY;USA only;Oakland
FENN5OWZMJD24I37PBOHJC4HQI;Undetermined;none
FFEJRHQUVZDUUGKSGTGTGY4FYY;USA only;Cincinnati
FFYQLK6GVIAL2J45JIGIIGT3QA;USA only;Portland
FGRBISE2WBEXIX4RL5JVP3U5T4;Non-USA;Canada, Afghanistan
FH2KTAP6VY4PJU7TZUPQVYKW64;Undetermined;none
FH7RDZSL76QVNF2FYWSOJYFR4M;Non-USA;Mongolian Stepp, England, Somerset
FHQUTLWYIPUE3CNJC3RZGKW3YE;Non-USA;Essex, England, UK
FHS6FHWVCHPU4WKVG7IVTKEXOY;Undetermined;none
FHU7HLNNBT2TQYJB6GYRHH4EAM;Non-USA;Spain
FI25CNXXVIMK73XG2VWAFKAGJQ;USA only;New York
FIGUGNNKAGNOHZCVIAZXPX6D2M;USA only;Colorado
FJLOPRK6MIYWIG22BZJ3JU5CKM;Non-USA;Leeds, Manchester, North England
FJYBLEPUNNASP4GXHGC7DCAORU;USA only;Texas
FKJ4Q7P4NBBBQQAZ7EJLT4YIVI;Undetermined;none
FKRC64LAANOB5FYWRFZ2BU7NHM;USA only;South Carolina
FL4ZOULNG4AYL6BWE4BAGEZFIU;USA only;Arizona
FMHYHN23ASDAXEUEPUFONMQYUE;Non-USA;UK, Sussex
FMJAFNUMI3ANX6UJTOHU6XR2LE;USA only;New Jersey
FN7PEDAHMMXBQPLWAGZEJWIHAY;USA only;Texas
FOX2KZV7MFYHRDYE6HDHZHAF54;USA only;Phoenix, Arizona
FPHRK2Y2WEDGGRFS2VH4SK3UWQ;USA only;Virginia
FPWYEISML34GNPGOX3K4YEOLVY;USA only;Arkansas
FQBNER5YQH7VHIVKRVCVYJ35XY;World;Colombia, California
FRBW2LPOPWAWNGDY5DJMPOD7LY;USA only;New Orleans
FRTRSHCEZRAC26O7RXDRV2I3VY;Non-USA;UK
FSWH3WLJMAWBRFFC3Y7ZM45WGY;Non-USA;Sweden, Philippines
FT4X4B2YYOFT7MO6G56CONKAHY;Undetermined;none
FTGSOADKMI2IHY3JEJDC6N34BQ;Non-USA;UK
FU6IFLNZDQGBGDQWR23XN34EOI;Undetermined;none
FURV2DDHB475DTIJ7ERNNHJ3U4;Undetermined;none
FUSMW6KUVWX7GTI7EVIJ23IWRA;Undetermined;none
FUTLXYBI5SCHEF6ZBBQVNM5LYE;USA only;Fresno, California
FUVOXL67TM3UAJEM3WMDZQ2CNA;USA only;US
FVJ2YPGXOIXPKUIU2CALEZBEAY;Non-USA;Canada, Quebec
FW4RTVLOXA26N55X2MSIG5WE44;USA only;Kansas
FX4SZCR2JOB2ZOTC2Y7OTNHH7M;World;Australia, Hawaii
FXD6EKR7BCVJ2CGFSAKJQCOVVU;Non-USA;Liverpool, England
FXRJUTNL2FHYV4SCGSWVIS4GHM;USA only;Florida
FY2ESBMJWE7NU535HRNUMSOP6I;USA only;Washington
FZIUZWPL5I5Y5JTY454TWTOAPI;Undetermined;none
G2EQ4UBNDZULSZW3CDSTZ3UXMU;Undetermined;none
G3VPCIJYWJQAXKYHJDXFVDBYZE;USA only;Alaska
G4O75ZHFR7POGLM22M2QZYD5JI;USA only;Michigan
G4XLSYI2V6QBUS5SYNTHZSSLEI;USA only;California
G4YNEMME7FOZDAFCVXX7TDMGKM;USA only;Columbus, Ohio, Circleville
G5MJ45TTJH6AK4NYZ342UXBPYU;Undetermined;none
G5XIYIUUJKQ3CX6FW7WA23KEXQ;Undetermined;none
G5YXC6554WDHY56M53CO3C7BYE;USA only;District of Columbia
G6HGKT6AJRENZMWPR7ZUZDPPYI;Undetermined;none
G76C3CVAWQ56WNIGV5AJTVKKHU;Non-USA;England
