33F7CXYXMRWM6OGXJM3U4NTB64	JEAN's the name. <br> <br/> I was born and raised in CALI.
MJPNO7LWXW4CZMQDPPFDFN2UVE	IM 19 years old LIVE IN DENVER my name IS ELIAS and IM A BIG METALLICA FAN
MYYZ4OBYECIHHTXBD7REDBILEQ	Im 33, single, living in Tennessee. Have 4 kids. Love playing pool, mountainbike riding, hiking, exercising. I dont smoke or do drugs and am not much of a drinker. My favorite movies are Braveheart, Gladiator, A Walk to remember, The Notebook, Million dollar baby. I love reading books by Robert Jordan and Terry Goodkind. If you want to know anything else, ask.
MI26WSG3ALXV23BM4RB7NYAAYA	MESSAGR TO MY BFFS: Danielle Acuff - SHE'S AMAZING AND HILARIOUS. Science class would not be the same without her!!! She's my husband and I'm her wife and we have a little daughter named claire :D and yes i am aware that our daughter is a fork . Sapphire Fisher - This girl is so fun to be around and we have alot of inside jokes, mostly fromart class with the help of Mr. Beck. Art is so fun with sapphire,it's so lame and quite and unfun without her. Keili O'Neill - MY BFF FROM COLORADO. shes AMAZING and INSANE and SOOOOOOOOOOOOOOOOOOOOO lovable, (even tho she jumps out of moving vehicles) she's a clust like meh but that just makes us even more alike. my plans are to go to colorado in the summer time to see her because i love her that much :D Chelsea Hanson - she's wonderful, amazing, loud adventurous, loveable, adorable and hands down FUN . she's everything you could ever want a best friend to be :D <br> <br/> <br> <br/> All my bffs are amazing and have a special place in my life and heart.
MTFCI5B2W4KMI3HKKPGG7XJQEU	I am a medical student. I specialise in anaesthesiology and neurology. I am a black belt in shotokan karate which I attained in May 2008. I am also a member of Mensa UK and enjoy playing chess and mountaineering.
M6HHDDA4IPA3VEVKEQR7AVAAYQ	Hi. My name is Mickey. I'm a native of and currently living in Las Vegas, NV. I'm big into the alt health community, natural healing, etc and a big detractor of big pharma, artificial colors, flavors, fluoride, chlorine, chemicals etc etc. I was a personal trainer when I was a kid, then studied to become a doctor but thought better of it when I discovered doctors are basically bought and paid for by the big drug companies. (AMA, all medical associations also). I love to read and learn new things ever day.
M3SPAT6EP3V56CVTMMPHTBE6ZY	I am 51 years old in live in the Harrisburg, PA area. I've been a trucker for over 30 years and have logged over 3,000,000 accident-free miles. I currently drive for Roadway. I am originally from South Charleston, WV and have also lived in California, Texas and Ohio. Proud "dad" of a Golden Retriever and a Heinz-57 mutt.
M755J6T7QCDARRKHNV364YNTPQ	HELLO! <br> <br/> I AM BACK AND NOW SINGLE! I AM DATING A VERY LOVING AND BEAUTIFUL LADY WHO LIVES IN NEW YORK. LIVE IS STARTING ALL OVER FOR ME..
MG6TNRVNZWEO22YTIIPVTCEZNU	I am the owner of Arenal Homes and Land real estate company in Nuevo Arenal Costa Rica. I love this area, it is hands down the most beautiful area in all of Costa Rica. I love helping people discover all the adventure here as well as the peace that can be found. If you have any questions about Lake Arenal or Costa Rica in general, send me an email and I'll be happy to answer as best I can. Look forward to seeing you in Lake Arenal!
MLXKJSEPQGHHWYDZHNL2ZMVZCY	I am a Senior Business Student in San Antonio, Texas and have two children.
MKIJOV5BPWTYDBTNG257BKPQLQ	HI Im bored...I always am.. <br> <br/> <br> <br/> Im a girl <br> <br/> Heres a little something abt me <br> <br/> <br> <br/> Languages i can speak- <br> <br/> English <br> <br/> Spanish <br> <br/> French <br> <br/> <br> <br/> Fav american idol people this season- <br> <br/> David Archuleta <br> <br/> Davizd Cook <br> <br/> Carly Smithon <br> <br/> Brooke White <br> <br/> Krity Lee Cook <br> <br/> <br> <br/> Fav Disney Stars- <br> <br/> Demi Lovato <br> <br/> Selina Gomez <br> <br/> Ashley Tisdale <br> <br/> Brenda Song <br> <br/> Alyson Stoner <br> <br/> <br> <br/> Fav Songs- <br> <br/> All of the songs of drake bell <br> <br/> <br> <br/> My fav Band <br> <br/> Green Day <br> <br/> The fray <br> <br/> <br> <br/> My fav singers i listen to alot <br> <br/> Drake Bell <br> <br/> Kelly Clarkson <br> <br/> <br> <br/> My fav shows <br> <br/> iCarly <br> <br/> Drake and Josh--Really funny show <br> <br/> Full House <br> <br/> MTV hits <br> <br/> Fresh Prince of Bel-Air <br> <br/> and i LOVE the show Songe bob <br> <br/> <br> <br/> Fav colors- <br> <br/> EVERYTHING <br> <br/> <br> <br/> Places i wanna see- <br> <br/> France <br> <br/> Germany <br> <br/> Swisserland <br> <br/> Australia <br> <br/> London <br> <br/> Vietnam(the luxury side) <br> <br/> I LOVE TRAVELING <br> <br/> <br> <br/> Bye
MEYDRUYF562BULBEREOCFRQECU	I'm 17. I live in Melbourne, Australia. I love shopping! And I LOOOVE watching tv shows 💋❤️😍 And I love food too!!
MXCUXXOG2WDLFYHUZESGLKE65Y	Music is the thing my life revolves around; I would play my guitar with snapped strings if I had to. <br> <br/> <br> <br/> ♥ <br> <br/> <br> <br/> Escape the Fate, I Am Ghost, Silverstein, Mayday Parade, Red Care Wire, Boys Like Girls, Artist vs. Poet, The Word Alive, blessthefall, All Time Low, AFI, Fall Out Boy, Green Day, 30 Seconds to Mars, The Maine, My Chemical Romance, Hey Monday, Paramore, Perfect Like Me, [old] Panic! At the Disco, Saosin, Sparks the Rescue, Red Jumpsuit Apparatus, The Starting Line, The Used, We the Kings, The Cab... I could go on and on and on :]
CP2YTVC7FDXJZEXI7AMDCCU234	OKC Midwest city
CGL6OOP34DN7GTGSB5UXV4RCWI	I'm a massive West Ham United fan I'm also a lover of Staffordshire Bull Terriers and I'm absolutely gutted that England aren't going to Euro 2008!
CAOVJEJN5XS2H6I4HBYYYKZPWE	I LOVE THE LITTLE MERMAID AND DILLON LANE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!... =) =) <br> <br/> I want to be Princess Ariel in Disney World when I'm old enough :D
CVCUJUDJF3W57ZYSL62L6V6OIY	wh2ts up yall no homo....to start wit i live in.....New Jersey i lik to got to parties but not mine lol im 15 i am from Euador proud o it kk
CTTUBLKZMLJSLE7ETONDLJBI7Y	For more info on Japan, check out my Japan site: essential-japan-guide.com
CDG7DAQA66PUGBQBQ6AW6P5C3Q	NACI EN MONTERREY N.L. MEXICO, SOY ASPIRANTE AL GOBIERNO DEL ESTADO DE NUEVO LEON, MEXICO. PARA EL 2015 MI CORREO ES JORGEANTOLINGUTIERREZLOREDO@YAHOO.COM. Y EL NUMERO DE TELEFONO DE MI COMITE DE APOYO A MI ASPIRACION A LA CANDIDATURA ES 044 8110785879 SE QUE LA CARRERA ES DIFICIL, PERO NO IMPOSIBLE,BUSCO EL RESPALDO DE LA GENTE DEL PUEBLO,SOY HOMBRE DE LUCHA SOCIAL,REVOLUCIONARIO,CRITICO AL SISTEMA CORRUPTO QUE VIVIMOS, A LA IMPUNIDAD, AL ENDEUDAMIENTO DEL ESTADO DE N.L. AL MUGRERO QUE HAN HECHO EN MATERIA DE VIALIDAD, COMO LA ECOVIA,EL DESPILPARRO DE DINERO QUE A HECHO EL GOLDEN BOY DE RODRIGO MEDINA DE LA CRUZ,SE DEBE DE PEDIR SU RENUNCIA, AUDITARLO Y ABRIRLE UN PROCESO PENAL POR EL QUEBRANTO DE LAS FINANZAS DE NUEVO LEON, QUE LO TIENE QUEBRADO Y HIPOTECADO POR 50 ANOS SIN AGREGAR LA SEGURIDAD MALA QUE TENEMOS, DESMPLEO,SECUESTROS , ROBOS , ASALTOS, POLICIA CORRUPTA ETC.
CM6E354DTBBOCFZUE26LRM2FOQ	Born N Raised Malton, Mississauga, Ontario, Canada <br> <br/> Jesus Did not Die on the Cross <br> <br/> Nas, Common, The Roots, Lupe Fiasco as Inspiration <br> <br/> Kobe is better than Lebron <br> <br/> If You Talk $H!T on Court, Your the $H!TT!E$T One <br> <br/> <br> <br/> MSN: shakilmirza@live.ca
CO54YHXVZXQMF5PHRTQFYCAUPE	HOBBIES: <br> <br/> Dance, Music, Learning Bass, Mix Tapes, Driving, Texting, Concerts, Picture taking, Running, Horse-back riding, Cinema, <br> <br/> <br> <br/> FRIENDS: [In no order::Allie,Ainslee, Anna, Danti, KK, Lindsey, Linz, M.E.(Mer-Mer!!!), Harnie, Audrey, Dougie, Tram, Nate, Genesis, Ariel, Whitney, Nick.] <br> <br/> <br> <br/> <br> <br/> MUSIC <br> <br/> All American Rejects, The Academy Is..., My Chemical Romance, Fall Out Boy, Paramore, AFI, Hawthorne Heights, the Libertines, The Used, Panic! At The Disco. Cute Is What We Aim For, Tokio Hotel, The Red Jumpsuit Apparatus, Dashboard Confessional, Hollywood Undead, Silverstein, Death Cab For Cutie, Boys Like Girls, 30 Seconds to Mars, Linkin Park, Blue October, Yellowcard, the Medic Droid, Dead Can Dance, The Click Five, Goo Goo Dolls, Rascal Flatts, Cobra Starship,Coldplay, Billy Talent, Red Hot Chili Peppers, Hellogoodbye, From First to Last, The Fray, The Killers, Daughtry, The Fray, All Time Low (etc)
CQKG7DYVCXIAXKNCXL3OYLJKFU	Jenni comes from Germany
CCH53UCWKGAOO735ZINX3VWGMA	I'm a fan of Antic Cafe, as well as Japan in general. I find the Japanese language and culture to be the most beautiful in the world. Not to mention Japanese boys are super kawaii! (: I love Miku, he's very attractive, and I enjoy reading Manga. Specifically Death Note.
CYFS4L7IGNFELGOGNDANYEO3ZY	Interested in U.S. Latino pop culture and trends.
CWUE6TCNM6HRXXVXI7JNNIE53E	I am from the London borough of Kensington & Chelsea. I work as a hairdresser. I live with my husband and partner of 4 years, Robert. I am a Liberal Democrat. I supported Remain and I support Londipendence. I spent much of my childhood in Paris.
CZYBURGDMRQUI6J5LAVKXEIFWQ	I am 27 years old i have been through it all i like to uplift others.. I am a hair stylist here in Lafayette Louisiana... If you ever need advice or just some kind of support i am here to help.. I dont want others to go through some of the things i went through Learn Young Life is not a Game
C4XRAXU5XFMBTABUQQF4SWZT6E	I'm a 17 year old girl from Romania. I adore punk rock music. I like reading and to spend my free time with my friends.
CWNGSIRPO554HVEUXLPRX6SCKE	The Front Bottoms, Title Fight, Basement, Seahaven, Broadside, Tigers Jaw, Joyce manor etc.
CC7AWIEPWOFW3PJ2QAUGH4VOIU	i ♥ japan !! <br> <br/> <3_ j-rock_&_scream_ <3 !! <br> <br/> <a href="http://it.netlog.com/KiKyO_JaPaN_HeArT" rel="nofollow">http://it.netlog.com/KiKyO_JaPaN_HeArT</a> <br> <br/> ↘♥KiKyO♥↙
CAHHRCQOSJHU6HC7LMZ73CHJSQ	Second year, animal science major at Cal Poly San Luis Obispo. Pre-Vet focus, with specialization in horses. <br> <br/> Film lover, self-proclaimed geek, and avid reader. Friendly, thoughtful blogger. <br> <br/> Fan of: <br> <br/> Harry Potter (films and books) <br> <br/> The Sword of Truth Series <br> <br/> The Big Bang Theory <br> <br/> Star Trek <br> <br/> Historical Fiction, specifically Roman times, and the Tudor time period <br> <br/> <br> <br/> Check out my blog at <a href="http://amymarie97.wordpress.com" rel="nofollow">http://amymarie97.wordpress.com</a>
CPWCAFL27D5UCCYGJPNDMF4PQI	I am a Deist Intelligent Design Scientific Researcher who owns a Corporate Umbrella and also I'm a U.S. Veteran of the Armed Forces.
C6PLPQCAWVGMFQ3LDU4R5EY3C4	hey! <br> <br/> i'm 15 years old and i live in wisconsin.
CM5UPDJUE3SXSZK7KKFYZK3CNY	So I'm Janna <br> <br/> I'm 17 years old. <br> <br/> I live in Maine. <br> <br/> I'm half filipina. <br> <br/> I love Y!A.
CO3PYVVZI5HUMMOHJ5JRYJT42A	a Malay from Malaysia..... <br> <br/> jz lookin 4 a penpall...
CYIXIMP6YTJEKSO6AAZPGG7WVM	Background in cognitive sciences, music, political theory, mathematics and physics, education and educational psychology, and music. I particularly enjoy problem solving. <br> <br/> <br> <br/> Currently, I live in France, where I am pursuing my studies in cognitive linguistics, as well as teaching part time.
C44USK6TLRK2HZPU6EXTFMCASE	A 16 year old guy from Pakistan who loves Music and Football and Singing and especially making friends!
CGFYFRTE5CLUZTSD4DNS3ZNGJI	53 year old male from Liverpool, UK. Recently launched <a href="http://dayinthelifeofa.wordpress.com/" rel="nofollow">http://dayinthelifeofa.wordpress.com/</a>
CNT4STRR32F4334TXB65VVNT3Y	Hi there!... if I'm on here it usually means I'm bored.. but sometimes I really need help with something. I'm 23, Jordanian American male living in Dallas, TX.
CWF4DZP5KYNYAGPJEF5LR346QM	21 <br> <br/> female <br> <br/> Born and raised in Milan Italy. <br> <br/> I have 4 older brothers: 30,29,27,25 and <br> <br/> 1 older sister who's 22. <br> <br/> Moved to Boston when I was 18. <br> <br/> I like to have fun, I'm very open to new experiences.
COAW26R42EHCMVCDL7OXAYVUZE	I am a Christian above all other things. <br> <br/> I am an engineer with degrees in both physics and astronomy and a veteran of the US Armed Forces. <br> <br/> <br> <br/> There in the ground His body lay, <br> <br/> Light of the world by darkness slain; <br> <br/> Then bursting forth in glorious day, <br> <br/> Up from the grave He rose again! <br> <br/> And as He stands in victory, <br> <br/> Sin's curse has lost its grip on me; <br> <br/> For I am His and He is mine— <br> <br/> Bought with the precious blood of Christ. <br> <br/> <br> <br/> --Getty and Townsend
CZSMAAYMYXHYGFTWKWVEUXJTDQ	I'm at a major university in the USA. My field of expertise is in the area of astronomy, astrophysics and cosmology.
C2RKTSF7T2GINRGVMG4ZN6ZGDE	My name is James, I just moved to Atlanta from Tennessee and I found that asking and answering questions was a good way to kill time.
CZKFAHEZRS7FFIHTQ7BHEJAF3E	My name is Natalie and I’m 16 years young. I'm just me. I'm simple; I don't need anything fancy or expensive, I prefer hiking outdoors to the mall any day. I'm not picky. My pets, friends, and family are my life, I would be nothing without them. I have a bunch of hobbies, that keep me busy when I'm supposed to be studying. I am bisexual and proud of it. I am currently not looking for a relationship, but friendship would be cool. I listen to all kinds of music, but Blackmore’s Night is my favorite band. I don’t watch television and I love horror movies. I read a lot, and some of my favorite authors are Kelly Armstrong, C. Dennis Moore, and Laurie Stolarz. I want to visit the the Celtic countries, and Japan before I die. I am very shy when you first meet me, but after awhile I'll warm up to you. Don't ask me for help if I've said I can't give it, repeated questions and begging annoy me and it's bound to get you on my bad side, which you don't want. I think that's about it.
CBYCEYQKFOV74YJGLKMDJZEONA	Hi guys <br> <br/> <br> <br/> I'm amandeep, 22 a cool guy, nowadays pursuing BSc IT at PTU ludhiana city in INDIA & working as a web devolper and sr. programmer. I also wanna tell about myself that I'm royal person, try to make everyone feel happy which to diffuse their pain , whatever the person going that time. Also encourage to accept the challenge in their coming future, never to fail it's the thing to learn you about yourself where you stand. I use to check & look for every best things, are these really helpful me or someone, . . . . I also like nice person who really make the things remarkable, desirable, lovable etc. . . . . to everyone <br> <br/> <br> <br/> <br> <br/> Take Care Everyone <br> <br/> <a href="http://amandeepji14.blogspot.com/" rel="nofollow">http://amandeepji14.blogspot.com/</a> <br> <br/> <a href="http://www.myspace.com/amandeepji13" rel="nofollow">http://www.myspace.com/amandeepji13</a> <br> <br/> <a href="http://www.facebook.com/people/Amandeep-Mann/1404073132" rel="nofollow">http://www.facebook.com/people/Amandeep-...</a> <br> <br/> http://maan.viviti.com/ <br> <br/> http://twitter.com/amandeepji14 <br> <br/> http://www.ibibo.com/amandeepji13 <br> <br/> http://in.linkedin.com/pub/amandeep-mann/18/989/a34 <br> <br/> <br> <br/> Amandeep Mann
CT6BIBLIWQ3YERQJO7SOUFE56I	Name: Ernest <br> <br/> Age: 27 <br> <br/> Place: UK <br> <br/> C. Status: Still Looking for someone <br> <br/> <br> <br/> Firm Owner/Manager <br> <br/> Business: <br> <br/> Import & Export <br> <br/> ( Religious Articles ) <br> <br/> <br> <br/> Travelled to: <br> <br/> For Business & Leisure <br> <br/> <br> <br/> New WestMinster Canada <br> <br/> Seattle ( State Of Washington ) <br> <br/> Portland Oregon <br> <br/> Los Angeles CA <br> <br/> New York City <br> <br/> <br> <br/> Calcutta India <br> <br/> Colombo Sri Lanka <br> <br/> <br> <br/> Rome, Milan, Naples, Florence, Venice zItaly <br> <br/> Paris France <br> <br/> Republic of San Marino <br> <br/> <br> <br/> HongKong <br> <br/> Manila Philippines <br> <br/> Yokohama Japan <br> <br/> Singapore Port City <br> <br/> Danang Vietnam <br> <br/> Seoul South Korea <br> <br/> <br> <br/> ♥♥♥☺ For Suzanne B. ☺ ♥♥♥ <br> <br/> " I ♥ You " & " I Miss You "
COWGZ57UUVB44URRIM22V54UPM	I live in Seattle, WA..so should get the 10W-30? and for winter the 5W-30? Ford Parts dealer is saying 5W-20?
C7S236IDY5N7WEUVFE4XJPNYWM	I'm 28 y/o & newly married (6/07). My husband & I recently moved from Birmingham, AL to live on the FL panhandle & love it! We both work from home full-time as affiliate marketers. We've just started this business full-time & are enjoying the freedom involved with working together from home. <br> <br/> When we're not working, I love being outdoors in the FL sun, on the beach, biking, running, working-out, reading, fishing, playing music, watching movies or 'Lost' =), doing anything artistic, & traveling. <br> <br/> I have a MS degree in Occupational Therapy, but have never worked in the field. <br> <br/> My husband & I strongly embrace all that Jesus Christ has purchased for us--this being Salvation (or Freedom) from any/everything that would keep us bound-up physically, emotionally, mentally, & spiritually. <br> <br/> We desire to know Him & live in the realized abundance He has already given us. To abide in His Love, to let His Spirit flow & manifest His Kingdom on the earth as it is in heaven. <br> <br/> His Love endures forever.
CUKFI6JLERBFI5KNDZPJJLOJCQ	hello yahoo <br> <br/> I am a student, I study in a university of whashingtone d.c and i am living at my grandparents' house cause up my parents live in argentina. I am very handsome. bye thank you by read this.
CUC4R53S6UCDSVBBIP5B56XLOY	34 years old...born and raised in Athens, GA. Graduated from University of Georgia in 1997...Have been residing in Charlotte, NC since 2001...Computer operator/technician at a distribution center.
CAU4OBU67NL6JOT7ATSH6TED24	I'm Nathalie. I'm looking for some people to talk to. I like to read, go to the mall, go to the movies, and hang out with the movies. I like movies like Transformers, Disturbia, King Kong, Pirates of the Carribean. My family is from the Carribean, I was born in Maryland.
CZ6ENUHUL6ZDK633J2QMEXGQYU	i am a very friendly nice guy who lives in usa studying here for now.. i love dogs and i love to eat tacos :)
C6QS2CKBKFMVG36USGFPZEIEQ4	hello. my name is sarah. <br> <br/> i am a vegan, anarchist buddhist from san francisco, california. <br> <br/> <br> <br/> turquoisetresses.tumblr.com
CJ6D6RJN3DF6Z34UKRFMB7JZCI	im 20 yrs old, 6ft 4'' currently serving in the US Airforce ive been in for a year now i like to play bball, football, and go swimming. i like to cook, and i listen to all sorts of music. I LOVE WOMEN all sorts it dont matter to me. I hate player haters and wangstas and deathspeaking music. i like to make people laugh. Nd that's it.
CVMOCY6EXOBJ7GJW4NK7DHR5U4	I'm a freelance writer and photographer living in Beijing, China (originally from the US, specifically New Orleans and Seattle). <br> <br/> <br> <br/> I'm a former Cell & Molecular Biologist and currently pursue a lot of other interests during my worldwide adventuring. <br> <br/> <br> <br/> As a pregnant mommy-to-be, I write a blog column on BabyTuition.com and I also write for Suite101.com on various topics. <br> <br/> Thanks for checking out my profile!
CRGXZ7OOZLWMMIQXWWREWYKNIY	Single <br> <br/> Live in Indiana <br> <br/> Country boy at heart
CLLBOSB25YA73O7SDUR4UWY3U4	My names Megan and I'm from NW Ohio. If you wanna know anything about me then just leave me a message!
CA7OTKY3PPCTSZRBUNE6PCUQWA	Chris was first licensed as an EA in October of 2002 and has been a tax professional for over 13 years. As a highly specialized professional consultant, he carries an extensive background in income tax compliance and planning, as well as representation for tax collection and exam issues. Chris has years of in depth experience when it comes to representing taxpayers before the collections and exam divisions of the IRS and various State Agencies. If you currently have or are being threatened with back taxes, a wage garnishment, a bank levy or worse, Chris can provide the friendly and guiding hand that you need to bring your problems to resolution. <br> <br/> <br> <br/> Christopher is the President of eTaxrelief.com, a professional tax resolution firm. He is also a California Licensed Real Estate Agent and speaks publicly on tax collection matters and the tax aspects of real estate transactions.
CIVQ4PXE2AWHZTWW5GRP7ELNAM	I'm an old soldier, retreaded from the 1970s, who returned to Army duty after 9/11. My honors BA is in creative writing. I was a biker before I learned to drive. I love women, beer, song, my 19 year old cat Figueroa, my '97 Harley, and my native California. I've served my country most of my life and I fight for truth, justice and the American way. I plan to die in bed at a very old age with a much younger woman, and while this warrior argues politics from an informed perspective, I'd much rather be sipping champagne with a lovely lass. I've got no time for Repug "player-haters."
CO6PBGO5L73PKK665HZGKRNDUM	I am (a)... <br> <br/> - DJ <br> <br/> - Music/Audio Engineer <br> <br/> - Sound Designer <br> <br/> - Video Game Geek <br> <br/> - Los Angeles Native <br> <br/> <br> <br/> - Intrigued by Astrology/Horoscopes <br> <br/> - Loves playing/watching Basketball and Boxing/Sparring <br> <br/> - Likes watching UFC <br> <br/> - Addicted to Kicks/Sneakers <br> <br/> - Searching for Peace of Mind...
CBO2MKJUYBFYWGYEN5L6OM2STI	Hey, my name is Eric. I'm an 18 year old living in Utah in the USA. (I'm not a damn mormon because I live in Utah!!)..anyway.. <br> <br/> I love music and playing video games. I like to play improvised songs on the piano and guitar.
CNT4JYQKIVRYDNNJ5JYRT4H5VM	hi i am blah blah years old, my daughter is 31 and my son would be 33 but was killed in a car accident 9 years ago. <br> <br/> i live in herts wiv my husband we have been together since 1968. blimey!!! i was only 16 at the time! <br> <br/> love america and would go there on holiday any time. <br> <br/> love animals and food!
C64NO6PFQA2LYZLHVTLSKYCY6E	I live just outside of Syracuse, New York. I love technology and the internet, food, and America.
CSNRJCMSJ6CRX2BO6UDA4QRTQE	Well My Name Is Anibal Im From The IE So Fuck Dem Haters. Im Fun To Be Around. Im Funny and Nice. I Like Girls Especially Latinas They Sexy. Im Hispanic or Mexican Wutever You Wanna Call Us hahahah. I Like the Miami Heat and the San Diego Chargers and Mexico Soccer Team. I Love Rap and Hip Hop You Betta Listen to Dat Gangsta Shit. Drake Is Pretty Much My Fav Artist Rite Now Cuz He Da Shit. Thts Enough About Me Lets Hear About U Hahahaha.
CQDYEET47PLDLN55Z45NWKQ6O4	Hello there, my names Veronika brought into this crazy ass world October 1st.I live in Norway :/ My best friend is Mikayla imy and ily <3 I'm not sure what my purpose in life is yet, but I'll worry about that when im older. I'm very shy around unknown people, but as i get to know you more you'll see im not shy at all. Don't label me I'm not an item. I dont trust a lot of people, if i do trust you you've really earned it. Music means everything to me, i play guitar, piano, and sing. My friends are the best(: I wont give you my number, so don't even ask. I try my best to help out in anyway that i can. I love animals <3 I don't judge and i dislike people that do. I don't give a shit about what you think about me.I live my life the way I want to so don't try to change me..idk what else to say so bye.
CZESC2FL3C7TUF7FEH5AJY2HFA	i am Japanese female live near Tokyo. <br> <br/> divorced wiz 2kids and dating American navy guy now .I like Hip Hop ,R&B ,drawing etc etc
CT5MNRASHH7RNA3HXAEJFLSXDE	Uhm im 17 years old i live in Ireland ( all the way down south)
CO6HTFQXTDV2Y3YW6ORZR5UCQA	i love my music <br> <br/> everytime u talk to me or something i will probably tell you i'm listening to music <br> <br/> i'm in love with screamo music lmao <br> <br/> i love The Used, Secondhand Serenade, Silverstein, Lamb of God, Atreyu, Bullet For My Valentine, My Chemical Romance, Boys Like Girls, Metro Station, Paramore, Finger 11, Linkin Park, Green Day [[First Band I ever Loved! <;3]], Scary Kids Scaring Kids, Marilyn Manson, Bring Me the Horizon, Eyes Set to Kill, Rise Against, Story Of the Year, 30 Seconds to Mars, Breaking Benjamin, Three Days Grace, Kill Hannah, Katy Perry, Billy Talent, System of a Down, Disturbed, Fall Out Boy, and mostly rock bands that i forgot rite now. i like some rap/hip hop type stuff but not that much. i kinda like techno its purty cool.
CJZF3H2BAHWVTBEUZICJFYENPY	I'm married and have been for 7 years. We are currently ttc again after loosing our baby girl at 24 weeks to Acaductal stenosis(neural Tube defect) hydrocephalus(water on the brain) and no corpus cullosum(brain was not growing). I love and miss you dearly!! I'm a housing consultant with a home builder in Denton, TX <br> <br/> <br> <br/> I love you baby girl ~Kate Elizabeth~Feb. 21, 2008
CHKKMIWYT2EPGX54THZQLAOGF4	I live in Houston, TX <br> <br/> <br> <br/> Here to help. E-mail/IM me for more help.
CRVEHFQGSNIB6AHJLPO5USMJMQ	My name is Rex im 18 and my favorite activity is working i practically live at the gym. I also like reading mystery/adventure novels and furthuring my education. I dislike people that cant hold their own, cyberbullies hiding behind their keyboard, and assholes. I live in Newark Delaware and am not concerned who reads this as im quite confident in my ability to defend myself. My future plans is to learn all about judo, karate, other martial arts, and a good career. OFWGKTA
CVVPCMLHQSA53UVEISPYSVJ6TU	I am a high school girl living in California : )
CZTJYPOPRJXWFLPUYH2F5RPHL4	Strangle The Dogs are an original rock band <br> <br/> <br> <br/> They consist of <br> <br/> <br> <br/> Vocals;Steve Morrissey <br> <br/> <br> <br/> drums;John Kearney <br> <br/> <br> <br/> guitar;Seamus Sheedy <br> <br/> <br> <br/> bass;Kerrie Sheedy <br> <br/> <br> <br/> The bands music ranges from alternative to classic rock, combined with there raw energetic sound, their drive and energy come through at every performance. <br> <br/> The Kildare four piece have recently travelled to England to record their demo with producer Stuart Epps(Chris Rea Robbie Williams George Harrision) . <br> <br/> <br> <br/> They are currently recording their new E.P Disciplined Failure , which will be released July 2008
CL3C6MIZLUAPPKSZRHESHHVFMI	Hi I'm Sherwin. 21 years old livin in cali
CYBDBLX7VSUPIN4J2QOAEQ6K5E	To people who actually read these, like me: <br> <br/> <br> <br/> I'm a 15 year old girl, sophomore, from Mid-west America. <br> <br/> I aspire to be a writer, poet, lyricist, and so on. I enjoy it because it's something that is important in society that is slowly becoming a hassle for the average person. I feel the need to articulate myself. <br> <br/> I have a fascination with religions and mentalities of different people. 'Seeing how innovations have effected in good and bad ways in society. <br> <br/> I see people as people. Not as genders, social classes, or representations. <br> <br/> <br> <br/> Religion: Atheist/Pastafarian (Mhm.) <br> <br/> Orientation: Polysexual <br> <br/> Music: Gorillaz <br> <br/> Book: A Clockwork Orange <br> <br/> Inspiration: Myself (Egoist, did I mention?), Damon Albarn <br> <br/> <br> <br/> **I'm fairly fluent in Japanese, but only in speaking and pronunciation. I have a bit of trouble with reading/writing. My main tool when practicing Japanese: <a href="http://lang-8.com/180440**" rel="nofollow">http://lang-8.com/180440**</a>
CCBSCZFI5SQREAEHKTCW4ATTWE	Just turned 21 year old New Yorker. Most of my answers are based on common sense/humor, so don't be offended if I am a bit too sarcastic for your taste. I'm a curious person so I ask/answer a variety of questions. I don't bite... for the most part... so feel free to add me.
C2QUMOJ6Q3QHMACMDAHHVX3CWI	Thirty-something from the Philippines. Voracious reader, trivia collector, insatiably curious about a wide range of subjects.
SUP2KROFTFS2ZQ2XPVQA2EJCAA	I live in Grand Rapids, Mi and I love to write poems for fun, if you want to read them then email me and let me know.
SQNXXVGAJ7BZDFXTOEHQ33SXCA	Jamie <br> <br/> Male, 15 <br> <br/> Leeds, UK <br> <br/> Interested in philosophy, poetry, art, literature, idealism, music, etc. <br> <br/> My favourite musical artist is Kid Kudi (#genius). <br> <br/> Cudi inspires me along with many others, such as; Confucius, Martin Luther King, Albert Einstein, Napoleon Bonaparte, Henry Ford, Socrates, Winston Churchill, Margaret Thatcher, Chanakya, Mark Twain, Ralph Waldo Emerson, Nelson Mandela, Benjamin Disraeli, Benjamin Franklin, Henry David Thoreau, and more.
SDX5YZ7HBOMHHTECDG3P7NUBEY	Football crazy, my team's ENGLAND!!!!! <br> <br/> Punk-rock, and lovin' the BOYSETSFIRE. <br> <br/> Man United is my club. Since 1986. So don't talk shit. If you know about Choccy, Robbo, Sharpey et al, then we'll talk.
S4YAGZQPARZ3OZMWWYL3CJX3NQ	Only ask questions on this accout. <br> <br/> <br> <br/> My new one, is Yorkshire Lad.
SF3JHJBERX7IWPHZERBHGCFU4I	Assalamu Alaikum <br> <br/> I am a practicing Muslim, strong believer in Allah and Islamic education for Muslim children of our community. I had the honor of starting Sunday Islamic School in the Masjid of our small town in Southern California in 1998. In 2007 I found a capable lady teacher. When I was convinced that she can handle the responsibilities of Principal of Sunday Islamic school quite well with the help of volunteer teachers, I offered her my position and retired myself in 2008 because of my ill health. Since then I am answering questions on Islamic topics on Ramadan section of Yahoo Answers.
