3INJ4LZC7PNUZNQX4VMS3IK2B4	hi, i love photograpy and live in arkansas. please help answer my questions! ill help answer yours!
4LMT334HVIYWU4SBEDGWDVO3JA	I love ANIME because anime is LOVE! <3 <br> <br/> <br> <br/> These are some of my favorite anime: <br> <br/> <br> <br/> Azumanga Daioh <br> <br/> Bleach <br> <br/> Claymore <br> <br/> Code Geass <br> <br/> Cowboy Bebop <br> <br/> D.Gray-man <br> <br/> D.N. Angel <br> <br/> Death Note <br> <br/> Detective Conan <br> <br/> Devil May Cry <br> <br/> Ef - a tale of melodies <br> <br/> Elfen Lied <br> <br/> Eyeshield 21 <br> <br/> Fruits Basket <br> <br/> Fullmetal Alchemist <br> <br/> Gundam SEED <br> <br/> Hunter X Hunter <br> <br/> Initial D <br> <br/> Juushin Enbu - Hero Tales <br> <br/> Kyo Kara Maoh! <br> <br/> Law of Ueki <br> <br/> Lucky Star <br> <br/> Mai-HiME <br> <br/> Maria-sama ga Miteru <br> <br/> Mermaid Melody Pichi Pichi Pitch <br> <br/> Naruto <br> <br/> Noein - to your other self <br> <br/> One Piece <br> <br/> Ouran High School Host Club <br> <br/> Peace Maker Kurogane <br> <br/> Prince of Tennis <br> <br/> Saiyuki Reload <br> <br/> Sayonara Zetsubou Sensei <br> <br/> Shaman King <br> <br/> Shakugan no Shana <br> <br/> Special A <br> <br/> The Girl Who Leapt Through Time <br> <br/> The Melancholy of Haruhi Suzumiya <br> <br/> The Mythical Detective Loki Ragnarok <br> <br/> Tokyo Majin Gakuen Kenpucho: Tou <br> <br/> Toradora! <br> <br/> Witchblade <br> <br/> Yamato Nadeshiko Shichi Henge
4RDY44EZTYM4QWN4JRNLVRTDKY	I'm 33 and the mother of two very cute boys, ages 11 and 6. Right now I'm stationed in Hawaii as an Army Medic. Soon I will be leaving for Texas to further my career both civilian and military. I will be training as an LPN.
4OGRVI3OXTPR4E3Q7E6Q2PF2SA	US TV outside US Anytime & Anywhere! - <a href="http://www.zoogtv.com" rel="nofollow">http://www.zoogtv.com</a> <br> <br/> <br> <br/> Follow us on twitter: <a href="https://twitter.com/ZoogTV_VPN" rel="nofollow">https://twitter.com/ZoogTV_VPN</a> <br> <br/> Follow us on facebook: <a href="https://www.facebook.com/ZoogTV" rel="nofollow">https://www.facebook.com/ZoogTV</a>
4LZ5KLP3KYHGQWI47YLY5EJNB4	Hi, I'm Megan Michelle. I am in the process of joining the USN. I am married to my soul mate. I live in a little town in Arkansas west of Memphis, TN. I have two dogs and one cat. I am very intelligent and an outdoors person. I love to fish, hike, bike ride, ride four-wheelers, and target practice!!
4SWDUDEQKTQBN2AGILQKFQ5WBM	Well...Let's see. I'm a teenager who's taken!! Friendly, Smart, and Hyperr!! I'll be your friend just askk! <br> <br/> I wuv hanging out with my friends:Kassi, Amber., Zach(BF!!),Nate,Gabby, and Brooke! Also Calista and Carissa from old school! <br> <br/> I play fastpitch softball, trying out for dance team and i ♥ music!! <br> <br/> So that's basically my bio.. don't like it??? Who cares. ..It's mine!!(:
42AHKPMXXLIBM4KXAJUQ2SHFZU	I love to play sports, huge fan of Club America. I love to spend time with my family and friends.
45OZ7GV4AMXELD3FMFRKKCRMVE	Hey my name is Kevin im 18. Im offically a paratroper at 82nd Airborne at Ft. Bragg. Infantry baby, well thats my proffession. I like anything that gets the adrenaline pumping. I love the outdoors, not really country but im from TN and love the south. The weathers way better. My favorite music is Rock, Country, and Reggae. I like to kick it with the guys and like to do new things. Thats about it. Deuces
4G4NKWV3OQWSJEIXZHADT5LT2U	Hi everyone. <br> <br/> <br> <br/> i'm Charmane. <br> <br/> <br> <br/> 13yrs.old. <br> <br/> <br> <br/> Philippines, Iloilo. <br> <br/> <br> <br/> student. <br> <br/> <br> <br/> on a private school. <br> <br/> <br> <br/> i have no siblings. <br> <br/> <br> <br/> i am an only child. <br> <br/> <br> <br/> and an only grandchild. <br> <br/> <br> <br/> it's sumtimes lonely. <br> <br/> <br> <br/> but most times fun. <br> <br/> <br> <br/> im kinda spoiled. <br> <br/> <br> <br/> i'm an: <br> <br/> 85% Filipino. <br> <br/> 5% Spanish. <br> <br/> 5% American. <br> <br/> 5% Chinese. <br> <br/> <br> <br/> i only speak 3 languages and only some words/numbers on 2 languages. <br> <br/> I speak: <br> <br/> 1. Hiligaynon(dialect/Iloilo language) <br> <br/> 2. Tagalog(Filipino language) <br> <br/> 3. English(not British) <br> <br/> *4. Spanish(some words and #s) <br> <br/> *5. Chinese(numbers) <br> <br/> <br> <br/> <br> <br/> <br> <br/> <br> <br/> <br> <br/> <br> <br/> <br> <br/> i think that's enough already.
4Q2Y3BZUVSSCNBD3REFOFIR6OY	Im danie 16 cardiff wales. <br> <br/> my leopard gecko Kumal and my Citrus bearded dragon Darwin are my world theyre my babies! <br> <br/> strong points for answers are relationships, animals, fashion and randomness. <br> <br/> i want to be a designer and hopefully have a reptile shop or zoo!
4XFHRXAP6BQ446AP7PAZFMAKEE	i'm 16.i live in memphis tennessee. i'm a junior in high school and i love reading and watching t.v.
45YEJDGBPMFEIRV4DFPGG6LT3A	79% Best Answer rate, motherfuckers. <br> <br/> <br> <br/> Current Top Contributor in Other-Education. <br> <br/> <br> <br/> Former Top Contributor in: <br> <br/> <br> <br/> Chicago <br> <br/> Fantasy Sports <br> <br/> Homework Help
4FYVJHL6VY6BTZWZQ56B2DFMZU	LiveGuate.com is a professional tour organization in Guatemala City. We strive to provide great tours of Guatemala, helpful and accurate information to potential guests, and personal service to the expat communities including but not limited to English speaking schools, churches, and non-profit organizations. If you or your group needs free information or travel advice for the unlimited opportunities that await you in Guatemala, please do not hesitate to contact one of our service professionals through our Yahoo Answers contact. <br> <br/> <br> <br/> Visit us on the web at www.liveguate.com, and zbe sure to add us to your fan or contact list in Yahoo Answers.
4D27HUXSGD55IXTMXZERHJV6II	19 yrs boy from greece with much love to females and electronic music
4J7FGZJTIJR5P3MFROELODMCKY	hi im sherlyn gonzalez..im 16 years old. my bday is feb.4.. so dont forget it!! hahaha im SINGLE:) i live /from Venezuela. im really nice, outgoin, funny, crazy gurl. i love party,drinkin,smoken, lisin music, take picture, chillen with my friends,n goin out! I am a music addict,music is my life n everykind of music i love! my favortie color is pink && black. i love wear blackliner..i love meet new ppl.so yeaa if u wanna get to know me better just hit me up!! bye!! LOVE YA;XOXOX **ADDME** YAHOO- sherlyn_gonzalez@yahoo.com MSN - <br> <br/> bby_sherlyn@hotmail.com
4CZANNECT2DYN266L4P7MXZMYE	Hi my name is Brad, and i live in ye old England - a tiny island in the northern hemisphere!!
432YKLALGX6X5XZ4DQLPGERUZY	I have 4 brothers, 2 sisters, a mom and a dad, 2 dogs, a ton of fish(saltwater) <br> <br/> I want to be an Echocardiographer <br> <br/> My best friends names are: Taylor{known her since 1st grade}, Jessie {kg}, Charlenne { my sister, since I was 1}, Stephany{ my other sister},Christian,Keegan,Daniel,Robert{a... my bros},Brittany{6th grade} <br> <br/> Ilove volleyball,football,tennis,softball/base... swimming <br> <br/> I love America's Next Top Model, Dogs, my family + Friends,And you may think this is weird but, school <br> <br/> <br> <br/> Guess that's it about me!!!!! I've Got questions, you got aznswers!!!!
4DLHH3EL7XZSPW4UF5ECH4M4SU	i'm sophia. <br> <br/> simple as that. <br> <br/> i like where i live. <br> <br/> i love getting to know ppl&& <br> <br/> i'm a big fan of music and movies. <br> <br/> i love hardcore, metal, electronic, etc. <br> <br/> my favorite bands right now are alesana, breathe carolina, ismfof, and so much more. <br> <br/> i like to be entertained :))
4I3Q24EG7MHSH4TB44BRLH6GNE	Not much to say about me. I'm Canadian, I'm married, I teach English in China, and, although poor, I am happy. I enjoy travel, digital photography, weight lifting, movies, and of course, learning about the customs and culture of China. Cheers!!
4S7TERJBWT326ZSXKUHCGHIOHE	I'm human and live on planet Earth. I like to eat food and drink liquids. I defecate and urinate from time to time, usually after I wake up or eat/drink. I sleep at night (usually) and wake up in the morning.
4FBHMXU4W3PAKHRWMP24IYJPXA	Currently, live in Orange county in California <br> <br/> Love to travel and meet different culture. Love to eat. <br> <br/> Started running in Feb 07. (Finished the 1st marathon on June 3 in San Diego.) Determine to continue running.
4X3XWOHG2OPPH5PWEDT2X7EPCU	My name is Jessica Miller. Im kinda a quiet girl. I live in the 716 area code in new york. I live in a small town. Im a cheerleader and a dancer and i am a pretty random person.....
4JDWLYTC4I6WC4BKBYUI424ZAA	My name is Elle, short for Elliana. I was born in England, but raised in Paris with my adopted parents and their daughter Eva. (My parents died when I was young and me and my four brother were sent to an orphanage). Later on, I reconnected with my brothers, and moved to the US, so rejoin them. I married my husband, Elliot, and we now have six children. Caitlin whose 9, Sara and Danielle, who are 6, Juliet whose 3, and Elijah and Jessica who are 2 months. I share this account with my daughter Caitlin. <br> <br/> <br> <br/> Hey, I'm Caitlin. I'm only nine but I think I'm pretty mature for my age. Both me and my mom live the baby name section but she also likes the books&author section. Blegh. Anyway, that's me. I've lived in Arizona my whole life with my 5 little sibs. My mom is a teacher and my dad is a lawyer. That's it I guess.
4FFNGXNKIMI74KS76JVQKGRSKA	Hi...My favorite bands are My chemical romance, Hollywood undead, and seether....I like pokemon...i dunno what else to say..
474JGFR2ZIL2X6LD3PPLGM3PKU	I live in Ohio. I have 3 great kids who are grown. I love cats & like dogs very well too. Music is my life.
42AEX2QMRJNHNMY5XTT7VDFKX4	I am 20 years old born In San Jose, California on November 2, 1993. I do what I want without having to care what anyone thinks. Like me for who I am or go f**k yourself. I will only be me. I'm a really nice guy to get to know. I love classic rock, hockey, and laughter. Learn the rest.
4A4JDXFCVVVL6B65JGOLIUO6XE	hello everyone!! my name is kandi and i am a 26 year old female in ohio. I just had a baby girl named Lily on Feb. 15 and i couldnt be happier
4O22BRSYE2IC6A62RZJOWA3XGQ	I'm in grad school at Loma Linda University getting my DPT. It takes up all...and i mean ALL of my time! but i'm a nerd and i love it :) If i'm not in class i'm usually studying for lab practicals...or working out at the gym, running or playing soccer or football...i like outdoor stuff!!! and if the weather is right i like to snowboard. I was born and raised in San Diego, CA and when i finish school i'm heading back there for my friends and family!!! And i have a cool pet parakeet named Ken Adams!!!!
4QO7XL2RTD5MQQFDJRKSJA5E7A	The British Army........Hopefully !! <br> <br/> <br> <br/> Dance - Broadway Show Stoppers.
4EUW4OHG2QXCJVPAKUHINHHWCI	Name: Amanda <br> <br/> <br> <br/> Age: 19 <br> <br/> <br> <br/> Gender: Female <br> <br/> <br> <br/> Country: east England <br> <br/> <br> <br/> Relationship Status: i had a bf, but we broke up 1 year ago. <br> <br/> <br> <br/> Favourite TV programs: ITV, BBC, Xfactor. <br> <br/> <br> <br/> Favourite thing to do: hangout with friend, shopping, internet, party. <br> <br/> <br> <br/> Like: good food n drinks xD <br> <br/> <br> <br/> Dislike: sporrrrt. <br> <br/> <br> <br/> Favourite song: anything but not justin bieber.... <br> <br/> <br> <br/> Favourite outfit: dress or denim skirt. anything that make me look hot. lol <br> <br/> <br> <br/> Favourite movie: titanic. <br> <br/> <br> <br/> My favourite word: FAIL! <br> <br/> <br> <br/> My favourite colour: green, yellow, pink, blue, red, white. <br> <br/> <br> <br/> <br> <br/> LOL this is me! =P
45ITQZDGHIYYDD3TLIVE5244SM	im a 8th in New York City, New York. i am a balleriana, i do basketball, swim and tennis i luv my friends <br> <br/> luv ya <br> <br/> bi
423AIY4CJ6VBFAVGOHN75VA3XM	Hi im Karin. Im from Southern California. I love to answer questions because im known to be a good problem solver. Im Armenian/Lebanese so if you have any Indo-Euro/Middle Eastern questions ask me!
4POWIY7JHN5YK3YZM5PE5DT5S4	I live in the city of Maple Grove in Minnesota. I am 33 years old and I have been married for almost 7 years. I have a 5 year old daughter and she is the center of my life. I was in the Marines just out of high school and spent a few years living in Ft. Myers, Florida.
44BJLTEAQ5SVIHP5MPJWPSRH5E	I am an English senior citizen living in Spain. <br> <br/> Before I retired I was a computer programmer in, mostly, the engineering and science fields. <br> <br/> My hobbys are computer programming in Python, C, Fortran, Pascal, VB etc. Classical music, Spanish food and wine, sailing and travelling by train.
4WZMO3XQA57Q525NWWTFMCNF7Q	I'm 18, Carrollton, TX, know alot of random crap!!!! <br> <br/> You can email me if you someone to talk about anything!!! <br> <br/> here it is: nejardin@yahoo.com <br> <br/> <br> <br/> <br> <br/> <br> <br/> <3 <br> <br/> leave a heart on your profile and spread the love, if you wish
47L2WGQWELD5XMUNGHM5CNKAXU	I am 26, I live in Texas. I have my first baby on the way due June 21st, 2007. I have been married for 4 years to the same sexy guy and am deeply in love.. <br> <br/> <br> <br/> I own One Stafford Shire terrier and 2 birds.
4TEVLUNXI4SJ4BMVA33UH3VHOY	I am retired Superintending Engineer (elctrical0 form Electricity Board with 35 years experience in electrical Engineering. I am from India, Karnata state and beautiful city- Belgaum.
4JZOPFHJE5A5LAQEFJHJ5VAXPA	mi name is jordan pero you can call me jayy. 18 yrs old. a lesbian. nicaraguan. speak spanish. love hispanic women!! real cool so get at me =]
4LA3WCYXMHWIGZYTLTXBBRMY5M	I live on the South coast of England and mainly use all my spare time playing music here. <a href="http://www.ftlfm.com/" rel="nofollow">http://www.ftlfm.com/</a> Listen in sometime, post on the board and have a request played or a chat with the other listeners or the DJ's.
4JAQZ6RXZOKXLJJEFRYNMILXXU	ஐBeLLa ஐ <br> <br/> --------------------------------------... <br> <br/> * 21 years old <br> <br/> * Proud Mom to ♥Ezekyel♥ <br> <br/> * Proud Wifey to ♥Kareem ♥ <br> <br/> * Relocated from New York --> Maryland <br> <br/> * LPN= Licensed Practical Nurse <br> <br/> --------------------------------------... <br> <br/> Taken from an actual question posted on Y!A <br> <br/> Question: Is it possible for a girl to be "creepy"? <br> <br/> My Answer: "yes. <br> <br/> -following you around <br> <br/> -breathing heavily into the phone at 6am and then hanging up <br> <br/> -doctoring photos of you on myspace so it looks like the 2 of you are kissing <br> <br/> -staring at you 24.7 <br> <br/> -"coincidentally" popping up at your hangout spots <br> <br/> -talking to herself in a quiet room while laughing loudly and awkwardly <br> <br/> -staring at you across the room and doing the Mr. Burns (Simpson's) "....excellent" with her fingers. <br> <br/> <br> <br/> <br> <br/> yeah that kind of thing. <br> <br/> <br> <br/> creepers." <br> <br/> <br> <br/> So yeah, as long as you don't do those kind of things, feel free to add me. :-)
43PZRSPUWJ56FWRH7M4ASNKKPU	I like read and draw comics.I like music. I can use Chinese very well. Iknow a lot of thing about Taiwan.
422EJERDCBDWS5LZ3YTCPEB5YY	Melissa <br> <br/> Girl - 14 years - Brazil <br> <br/> <br> <br/> “And that’s why I smile It’s been a while <br> <br/> Since everyday and everything has felt this right <br> <br/> And now you turn it all around and suddenly <br> <br/> You’re all I need, the reason why <br> <br/> I smile” <br> <br/> Avril Lavigne (Smile)
4SQFBBMPQ6ZCDDL6BRCU66AHM4	I am 23 yrs old,I am a mother of 2 boys,evan 4 aaron 2.I am married to a soldier in the army.I live in KY. <br> <br/> Im easy to get along with.I like meeting new people.I have 7 peircings.I will soon have a tattoo. <br> <br/> I Iisten to mostly rock,some rap, <br> <br/> I will be going to college to be a photographer here soon
4G2SSALMGEWOF7VVKHSM7RJ7NA	I have 2 cats and live with my brother and his family. I am disabled but have a good outlook on life and enjoy it. The most important aspect in my life is praising the Lord and following His teachings. I am also blessed with wonderful family and friends. I like to do all types of needlework including crocheting, cross-stitch and sewing - although I haven't had much time for it because I've been spending all my time on my computer... <br> <br/> I am proud to be an American and am an Army veteran from the Viet-Nam era. I believe that our great country was founded on freedom of religion and am angered when people say we can't even have a moment of silence before sporting events and in schools because it IMPLIES prayer! Give me a break!!! GOD BLESS AMERICA!!!
4ZJR5QAERUMZSF4YJC6W3BSVOI	i am sanjay my height is5'7 my weight is 64 i am married my age is 34 iam looking very smart acceot my teeth i am working with aprivate company as a manager my mood is romantic i am honest and hard working man in every field i very mutch trust in god i like those who match my profile i belive in time concesness iam very puntual curintly iam living in greater noida near delhi
4TCTY3FC4Y53T3IA2F377GA7P4	hay guys :) thanx for visiting my page:) <br> <br/> <br> <br/> i am a high school girl that lives in a small town in america <br> <br/> <br> <br/> I LOVE playing soccer (or most sports for that matter) and i also like to cook and bake (no i am not fat) I am the kind of person that just likes to be herself no matter who is around, and i think people respect me for that... I also like to tell jokes and unwind with friends <br> <br/> <br> <br/> you can add me if you would like.... Have a nice day :D
FZIUZWPL5I5Y5JTY454TWTOAPI	8 seasons playing professional basketball and currently own a sports training and biomechanics correction company. I've developed vertical jump and speed and strength training programs for the Chinese National Basketball Team, University Of Wyoming football, Rice University Track and Field, University Of Minnesota Football, Team Wildman MMA, Texas A&M Basketball, and 50+ current NBA & NFL athletes. My training techniques helped me develop a 51 inch vertical jump and sub 10:4 100 meter sprint times. Visit my website for more training info: <br> <br/> <a href="http://www.program51.com" rel="nofollow">http://www.program51.com</a>
F5KMN34YDSPTZCFTCTFIZNQLAQ	ANIMAL LOVER! <br> <br/> I love: <br> <br/> Animals/Pets <br> <br/> Surfing <br> <br/> Watermelon <br> <br/> Birthdays <br> <br/> CHRISTMAS! :D <br> <br/> <br> <br/> I live in Australia. <br> <br/> I am 13 years old, going into grade 9 next year. <br> <br/> I home-school. <br> <br/> I have 4 sisters and 2 brothers. <br> <br/> I play piano, doing 8th grade this year. <br> <br/> I play violin, doing 6th grade this year. <br> <br/> I am a Christian :)
F3FZ3C27XQCXAGFOPWETL7XGM4	23, and lovin living in Los Angeles
FUTLXYBI5SCHEF6ZBBQVNM5LYE	i love Hip-hop/R&B =D <br> <br/> don't know how to show my Yahoo 360 profile lol... <br> <br/> I'm 17 years young living in Fresno,Ca <br> <br/> I'm a down to earth person who likes to write stuff to be musically recited =P <br> <br/> i also like to do graffiti and play sports mainly basketball or football, <br> <br/> I am a very honest person with alter egos lol, <br> <br/> I am either rude or a good friend to guys depending on who it is, <br> <br/> I grew up with morals so I treat women with respect, but still know how to have a good time, <br> <br/> basically if you're a good honest friend I will be one as well...well for right now idk what else to say so hit me up if you wanna get to know me better or whatever alright...
FXRJUTNL2FHYV4SCGSWVIS4GHM	my name is Donna i live in florida and im 39 yrs old im a mother of 4 wonderful children and a grammy to one awsome grandson and im gonna be a grammy to another in january of 2008 again i have a great fiance in my life and am very blessed to have all of them
F3YTOWXHSFL3RVNYC73KAAWXPI	I am 24 and live in GA. I spent 2 years as a counselor for Choices, the peer sex-ed group on my college campus. I went through a great deal of training to become a counselor with choices, learning all about STDs, birth control, and other aspects of sexual health and well-being.
FFEJRHQUVZDUUGKSGTGTGY4FYY	yea dis cincinnati hat and I rep cincinnati all da way and if you gota problem wit it den hit me up
F3UZPJWFAFPKOWH6BABYFS2XQQ	Hi! My Name is Jessica! <br> <br/> <br> <br/> I'm 21 Years Old and I live in New Zealand. I am currently studying Social Sciences and Biology in University. I know! Not exactly rich in Career prospects, but it's what I love and in the end I think that's all that matters. <br> <br/> <br> <br/> Most of the time I just write answers that make me laugh (Which is why the low Best Answer/Answer ratio), but I can have rare moments of seriousness.
FELXRCHNXYTXE4HXZRG4HEUCQY	I have decided that the rest of my life will be devoted to cannabis. I have attended and graduated from the Beginning as well as Advanced Oaksterdam University classes. Consulted for collectives, grow operations, and the territory of Guam (US jurisdiction).
FUSMW6KUVWX7GTI7EVIJ23IWRA	In addition to providing the most effective mobile technical support service in Silicon Valley, MobileTechs provide cutting edge news articles & direct downloads on the hottest new smartphone applications, software and websites. go to <a href="https://www.facebook.com/mobiletechs" rel="nofollow">https://www.facebook.com/mobiletechs</a> <br> <br/> <br> <br/> or <a href="http://www.mobile-techs.net" rel="nofollow">http://www.mobile-techs.net</a>
F2KWV76JUY4LUO47FR6F6UAEH4	I am a Environmental Scientist who works for the government. Have a awesome tool collection, and make things out of wood for my hobby. I have a Road King, and love to take my lady out during bike week and show off crazy hats and leather! Live at the beach, next to the sunny Atlantic. I am From the volunteer state!
FPWYEISML34GNPGOX3K4YEOLVY	I'm a 26 year old, wife and mother from Arkansas.
F3RSICJXLG2STAAOGJ6ZNYKYIQ	I'm actually in the UK (but somehow the system has defaulted to United States)
FH2KTAP6VY4PJU7TZUPQVYKW64	Just who IS this David Baner? What makes him tick? How does he know so much? How does an intelligent, pleasant and attractive female hook-up with him? Does he prefer "Dave" or "David"? Does he enjoy Paris in the Spring? <br> <br/> <br> <br/> Surely these are some of the things you are asking yourself.
F5W5PNWQTA7VUWPIVYBFGWGY6U	I'm elsa..i'm 15 years old..staying in malaysia,perak.A friendly girl and simple girl in a cruel world..Love having friends and hanging out all day..
FIGUGNNKAGNOHZCVIAZXPX6D2M	I am a 26 year old girl who loves her family. I live in Colorado and recently had a son on Sept. 3rd. His name is "Malachi" and he is a darling!
FT4X4B2YYOFT7MO6G56CONKAHY	Hiya! <br> <br/> <br> <br/> I'm 19 years old, work in retail but my dream is to work in the animal industry and have my own Wildlife Rehabilitation centre. I LOVE fish and have owned previous Tropical and Cold water fish tanks. At the moment I have one Tropical fish tank that has, 1 Columbian Shark, 3 Peppered Corydoras', 1 Congo Frog, 2 Kribensis' and 3 Guppies. <br> <br/> <br> <br/> I also have 2 Netherland Dwarf rabbits called Noah and Tink. <br> <br/> A ginger cat and a dog, a cross between a Jack Russel and Border Collie.
FRBW2LPOPWAWNGDY5DJMPOD7LY	I live and work in the Middle East most of the year, Home is New Orleans.
FKRC64LAANOB5FYWRFZ2BU7NHM	I'm 32 years old and live in South Carolina. I work in manufacturing (construction). I love to shop and look for good deals and yard sales etc. I also spend time at the lake or beach when I have time.
FAMNJQMMMOKBIXMSVZBCWBMU6M	I'm a typical teenage girl that has a higher mentality then most girls my age but, dont get me wrong I still sometimes act like a little girl. The difference is I know when and when not to. I live in Texas and currently enrolled in Rivera High. And plus I'm a latina that loves to dance to anything!! Oh, and I Love all my friends and family. <br> <br/> Wildchild12
FW4RTVLOXA26N55X2MSIG5WE44	I am a 50 year young male. I live in SW Kansas and I am happy every day I wake up. It is not the most exciting place on earth but it is what it is. The people are great though. I believe a day is what you make of it, you control your own destiny and good guys don't always finish last. May all your hopes and dreams be all you hoped and dreamed they would be. Be the best you can be every day and try to make a positive impact on someone else's life and good things will come to you.
FXD6EKR7BCVJ2CGFSAKJQCOVVU	My chosen alias is Artemis =3 <br> <br/> <br> <br/> 16/Female/Liverpool, England. <br> <br/> <br> <br/> I always offer honest advice, not just something that the asker wants to hear. <br> <br/> <br> <br/> I'm friendly, so feel free to contact me :]
FTGSOADKMI2IHY3JEJDC6N34BQ	Web designer / developer for 11 years. Currently employed creating websites for schools in the UK. <br> <br/> Degree in Communication Design from the University of Portsmouth.
FH7RDZSL76QVNF2FYWSOJYFR4M	I was born in the foothills of the mongolian stepp, brought up by a family of newts. I survived on beansprouts and lentils. I left at the age of 14 to seek my fortune in the great wide world of ours although at the time i didn't know it was that big. I caught a steam ship to England and started my new life here some twenty years ago. I am now a cheese sniffer in Somerset. It is a very enjoyable job but a bit lonely due to the smell.
FFYQLK6GVIAL2J45JIGIIGT3QA	Mother <br> <br/> Of <br> <br/> The <br> <br/> Year... <br> <br/> <br> <br/> Would be Century, but Motc is not phonetically fun. <br> <br/> <br> <br/> Full-time mom, 3/4 time student. <br> <br/> <br> <br/> Wife. <br> <br/> <br> <br/> Whole-foods nut. <br> <br/> <br> <br/> Love the tinctures and teas and all God's natural healing gifts--herbs AND physicians. <br> <br/> <br> <br/> I'm a lifeguard in the sea of consumer debt! I rescue people who are drowning, even those just treading water. <br> <br/> <br> <br/> I love Portland. I can wander for days and never see enough--and nobody stares at my hair here! Finally, I'm home (or as close as I can be here on Earth). <br> <br/> <br> <br/> Above all else: I am Christian, as in I believe in Christ, and try to follow His lead--I love everybody. I am not your judge--don't care to be; living my life is hard enough.
FPHRK2Y2WEDGGRFS2VH4SK3UWQ	I am a married mom of 3 and I don't BS, so I expect noone to BS wit me. I love to meet new people, so you can hit me up on Yahoo Messenger. I am currently interested in photography. I live in the grand ole state of Virginia in a wonderful country called America.
FBQIKVMJNRIYEKCNK3J5MWWXXA	Im a Marketing student, but I read and study about a lot of things like; Science, Mathematics, Language, History ( specially everything that has to do with Egypt ), Culture... well in other words... anything that makes my mind grow or expand is something I will learn about! :),
FN7PEDAHMMXBQPLWAGZEJWIHAY	I'm a 40 year-old white conservative male who lives in N. Texas. I was medically-retired after 15 years in the Army and I now own my own excavation company. Due to the 0-bama economy, I have downsized and taken full-time employment as a corrections employee so that my remaining employees can continue to work full-time. I still work and manage my excavation business in my spare time (with the help of my wife) and am waiting patiently for the dark clouds, known as the 0-bama Presidency, to pass.
FKJ4Q7P4NBBBQQAZ7EJLT4YIVI	I am called Dina. <br> <br/> I am my own person. <br> <br/> I do not drink/smoke. <br> <br/> I am in high school and college. <br> <br/> I work in a laboratory. <br> <br/> I am interested in theatre, psychology, genetics, law, Greek, French, Latin, Danish, anatomy, Greece, etc.
FJYBLEPUNNASP4GXHGC7DCAORU	I'm a guy in texas.
FOX2KZV7MFYHRDYE6HDHZHAF54	I am an Internet marketing specialist with <a href="http://www.goldandsilveronline.com/." rel="nofollow">http://www.goldandsilveronline.com/.</a> We are a gold and silver bullion dealer in Phoenix Arizona.
F7R5SX7VIG5DUS6GXLASXFD2SY	Hey Im From California im chill like to have a good time hit me up on my email if u want to talk
FRTRSHCEZRAC26O7RXDRV2I3VY	i'm from the UK, interested in politics, philosophy, general things like relationship issues and anything great dane orinentated. if you wanna chat just email me!
FSWH3WLJMAWBRFFC3Y7ZM45WGY	This is me...a Baptist Christian Filipino girl whom now destined in Sweden...I love Mathematics, English, and Science, and learning new ideas.. <br> <br/> <br> <br/> I graduated my high school as Salutatorian or 2nd Academic Awarded and my college in STI with a course of Office Administration as Academic Awarded. I am a resigned Hotel Front Desk Receptionist and currently working as a Condotel Investment Sales Agent worldwide.
FDS7C2HQCPPCLMTXS5AMAAOJFI	I'm just your run-of-the-mill college girl. I live in the Midwest, study Russian, do photography, and write poetry. I'm also a psi vampire and the host of the TeenVamp podcasts on YouTube. I know many won't believe me, but that's not my problem.
F4YWOEPUK6IIBEDMSCMT4NBWJM	Obviously, I am from the Great State of Texas. I am conservative, Christian, an Armed Forces Veteran and educated, in other words a liberals worst nightmare. I don't watch Beck or O'Reilly and I don't listen to Hannity and Limbaugh, I am smart enough to formulate my own opinions. I love my country and I support out troops 100% and I have no use for anyone who doesn't.
FUVOXL67TM3UAJEM3WMDZQ2CNA	Name: Greg <br> <br/> Sex: Male <br> <br/> Age: 17 <br> <br/> Location: United States <br> <br/> Interests: Weight lifting, Wakeboarding, Computer Gaming, and Working.
FGRBISE2WBEXIX4RL5JVP3U5T4	Former Canadian Army married to a not so retired Active Army IG who is currently in Afghanistan. <br> <br/> <br> <br/> Currently studying photojournalism.
FVJ2YPGXOIXPKUIU2CALEZBEAY	heyy I'm Tiffy. <br> <br/> I'm a 15 year old Canadian (Quebec) <br> <br/> I've been strudying Japanese online very hard for 1 year now, and I'll be doing so for quite a while till I can afford real Japanese lessons. <br> <br/> And so, Yahoo! Answers is an excellent way to get help with this! : ) <br> <br/> I speak English and French so I can help with questions about French in return. <br> <br/> <br> <br/> <br> <br/> And to those who have answered my questions, Thank you very much!
FX4SZCR2JOB2ZOTC2Y7OTNHH7M	(im on the left) 17yr old bubbly gurl loving life doing as much as i can.....living in Aus but have another house in hawaii.........u can find me at the beach or the mall xoxoxoxo
FI25CNXXVIMK73XG2VWAFKAGJQ	hi ever1 doing my name is Jose and i'm a high school student, I'm a math tutoring student in New York (integrated algebra, geometry, and algebra 2 and trigonometry) and hope to help u
FMHYHN23ASDAXEUEPUFONMQYUE	I have been married to my lovely husband Gareth for five years and have two beautiful daughters Sophia and Isabelle. I live in sussex in th UK.
FHU7HLNNBT2TQYJB6GYRHH4EAM	I work in the Real Estate Business in Southern Spain and have a website with online magazines: properties for sale.
